the  [ðə; ði]
be  [biː; bi]
and  [ænd; ənd]
of  [ʌv; əv]
a  [ə; eɪ]
in  [ɪn]
to  [tuː; tə]
have  [hæv; həv]
to  [tuː; tə]
it  [ɪt]
I  [aɪ]
that  [ðæt]
for  [fɔːr; fər]
you  [juː; jʊ]
he  [hiː; hi]
with  [wɪð; wɪθ]
on  [ɑːn]
do  [duː; də]
say  [seɪ]
this  [ðɪs]
they  [ðeɪ]
at  [æt; ət]
but  [bʌt; bət]
we  [wiː; wi]
his  [hɪz; ɪz]
from  [frʌm; frəm]
that  [ðæt]
not  [nɑːt]
None  [nʌn]
by  [baɪ]
she  [ʃiː; ʃi]
or  [ɔːr]
as  [æz; əz]
what  [wʌt]
go  [ɡoʊ]
their  [ðer; ðər]
can  [kæn; kən]
who  [huː]
get  [ɡet]
if  [ɪf]
would  [wʊd]
her  [hɜːr; hər]
all  [ɔːl]
my  [maɪ]
make  [meɪk]
about  [əˈbaʊt]
know  [noʊ]
will  [wɪl]
as  [æz; əz]
up  [ʌp]
one  [wʌn]
time  [taɪm]
there  [ðer; ðər]
year  [jɪr]
so  [soʊ]
think  [θɪŋk]
when  [wen]
which  [wɪtʃ]
them  [ðem; ðəm]
some  [sʌm; səm]
me  [miː; mi]
people  [ˈpiːp(ə)l]
take  [teɪk]
out  [aʊt]
into  [ˈɪntuː]
just  [dʒʌst]
see  [siː]
him  [hɪm; ɪm]
your  [jʊr; jər]
come  [kʌm]
could  [kʊd; kəd]
now  [naʊ]
than  [ðæn; ðən]
like  [laɪk]
other  [ˈʌðər]
how  [haʊ]
then  [ðen]
its  [ɪts]
our  [ˈaʊər; ɑːr]
two  [tuː]
more  [mɔːr]
these  [ðiːz]
want  [wɑːnt]
way  [weɪ]
look  [lʊk]
first  [fɜːrst]
also  [ˈɔːlsoʊ]
new  [nuː]
because  [bɪˈkəz, bɪˈkɔːz]
day  [deɪ]
more  [mɔːr]
use  [juːz]
no  [noʊ]
man  [mæn]
find  [faɪnd]
here  [hɪr]
thing  [θɪŋ]
give  [ɡɪv]
many  [ˈmeni]
well  [wel]
only  [ˈoʊnli]
those  [ðoʊz]
tell  [tel]
one  [wʌn]
very  [ˈveri]
her  [hɜːr; hər]
even  [ˈiːv(ə)n]
back  [bæk]
any  [ˈeni]
good  [ɡʊd]
woman  [ˈwʊmən]
through  [θruː]
us  [ʌs; əs]
life  [laɪf]
child  [tʃaɪld]
there  [ðer; ðər]
work  [wɜːrk]
down  [daʊn]
may  [meɪ]
after  [ˈæftər]
should  [ʃʊd; ʃəd]
call  [kɔːl]
world  [wɜːrld]
over  [ˈoʊvər]
school  [skuːl]
still  [stɪl]
try  [traɪ]
in  [ɪn]
as  [æz; əz]
last  [læst]
ask  [æsk]
need  [niːd]
too  [tuː]
feel  [fiːl]
three  [θriː]
when  [wen]
state  [steɪt]
never  [ˈnevər]
become  [bɪˈkʌm]
between  [bɪˈtwiːn]
high  [haɪ]
really  [ˈriːəli]
something  [ˈsʌmθɪŋ]
most  [moʊst]
another  [əˈnʌðər]
much  [mʌtʃ]
family  [ˈfæməli]
own  [oʊn]
out  [aʊt]
leave  [liːv]
put  [pʊt]
old  [oʊld]
while  [waɪl]
mean  [miːn]
on  [ɑːn]
keep  [kiːp]
student  [ˈstuːd(ə)nt]
why  [waɪ]
let  [let]
great  [ɡreɪt]
same  [seɪm]
big  [bɪɡ]
group  [ɡruːp]
begin  [bɪˈɡɪn]
seem  [siːm]
country  [ˈkʌntri]
help  [help]
talk  [tɔːk]
where  [wer]
turn  [tɜːrn]
problem  [ˈprɑːbləm]
every  [ˈevri]
start  [stɑːrt]
hand  [hænd]
might  [maɪt]
American  [əˈmerɪkən]
show  [ʃoʊ]
part  [pɑːrt]
about  [əˈbaʊt]
against  [əˈɡenst]
place  [pleɪs]
over  [ˈoʊvər]
such  [sʌtʃ]
again  [əˈɡen]
few  [fjuː]
case  [keɪs]
most  [moʊst]
week  [wiːk]
company  [ˈkʌmpəni]
where  [wer]
system  [ˈsɪstəm]
each  [iːtʃ]
right  [raɪt]
program  [ˈproʊɡræm]
hear  [hɪr]
so  [soʊ]
question  [ˈkwestʃən]
during  [ˈdʊrɪŋ]
work  [wɜːrk]
play  [pleɪ]
government  [ˈɡʌvərnmənt]
run  [rʌn]
small  [smɔːl]
number  [ˈnʌmbər]
off  [ɔːf]
always  [ˈɔːlweɪz]
move  [muːv]
like  [laɪk]
night  [naɪt]
live  [lɪv]
Mr  [ˈmɪstər]
point  [pɔɪnt]
believe  [bɪˈliːv]
hold  [hoʊld]
today  [təˈdeɪ]
bring  [brɪŋ]
happen  [ˈhæpən]
next  [nekst]
without  [wɪˈðaʊt]
before  [bɪˈfɔːr]
large  [lɑːrdʒ]
all  [ɔːl]
million  [ˈmɪljən]
must  [mʌst; məst]
home  [hoʊm]
under  [ˈʌndər]
water  [ˈwɔːtər]
room  [ruːm]
write  [raɪt]
mother  [ˈmʌðər]
area  [ˈeriə]
national  [ˈnæʃ(ə)nəl]
money  [ˈmʌni]
story  [ˈstɔːri]
young  [jʌŋ]
fact  [fækt]
month  [mʌnθ]
different  [ˈdɪfrənt]
lot  [lɑːt]
right  [raɪt]
study  [ˈstʌdi]
book  [bʊk]
eye  [aɪ]
job  [dʒɑːb]
word  [wɜːrd]
though  [ðoʊ]
business  [ˈbɪznəs]
issue  [ˈɪʃuː]
side  [saɪd]
kind  [kaɪnd]
four  [fɔːr]
head  [hed]
far  [fɑːr]
black  [blæk]
long  [lɔːŋ]
both  [boʊθ]
little  [ˈlɪt(ə)l]
house  [haʊs]
yes  [jes]
after  [ˈæftər]
since  [sɪns]
long  [lɔːŋ]
provide  [prəˈvaɪd]
service  [ˈsɜːrvɪs]
around  [əˈraʊnd]
friend  [frend]
important  [ɪmˈpɔːrt(ə)nt]
father  [ˈfɑːðər]
sit  [sɪt]
away  [əˈweɪ]
until  [ʌnˈtɪl]
power  [ˈpaʊər]
hour  [ˈaʊər]
game  [ɡeɪm]
often  [ˈɔːf(ə)n]
yet  [jet]
line  [laɪn]
political  [pəˈlɪtɪk(ə)l]
end  [end]
among  [əˈmʌŋ]
ever  [ˈevər]
stand  [stænd]
bad  [bæd]
lose  [luːz]
however  [haʊˈevər]
member  [ˈmembər]
pay  [peɪ]
law  [lɔː]
meet  [miːt]
car  [kɑːr]
city  [ˈsɪti]
almost  [ˈɔːlmoʊst]
include  [ɪnˈkluːd]
continue  [kənˈtɪnjuː]
set  [set]
later  [ˈleɪtər]
community  [kəˈmjuːnəti]
much  [mʌtʃ]
name  [neɪm]
five  [faɪv]
once  [wʌns]
white  [waɪt]
least  [liːst]
president  [ˈprezɪdənt]
learn  [lɜːrn]
real  [ˈriːəl]
change  [tʃeɪndʒ]
team  [tiːm]
minute  [ˈmɪnɪt]
best  [best]
several  [ˈsevrəl]
idea  [aɪˈdiːə]
kid  [kɪd]
body  [ˈbɑːdi]
information  [ˌɪnfərˈmeɪʃ(ə)n]
nothing  [ˈnʌθɪŋ]
ago  [əˈɡoʊ]
right  [raɪt]
lead  [liːd]
social  [ˈsoʊʃ(ə)l]
understand  [ˌʌndərˈstænd]
whether  [ˈweðər]
back  [bæk]
watch  [wɑːtʃ]
together  [təˈɡeðər]
follow  [ˈfɑːloʊ]
around  [əˈraʊnd]
parent  [ˈperənt]
only  [ˈoʊnli]
stop  [stɑːp]
face  [feɪs]
anything  [ˈeniθɪŋ]
create  [kriˈeɪt]
public  [ˈpʌblɪk]
already  [ɔːlˈredi]
speak  [spiːk]
others  [ˈʌðər]
read  [riːd]
level  [ˈlev(ə)l]
allow  [əˈlaʊ]
add  [æd]
office  [ˈɑːfɪs]
spend  [spend]
door  [dɔːr]
health  [helθ]
person  [ˈpɜːrs(ə)n]
art  [ɑːrt]
sure  [ʃʊr]
such  [sʌtʃ]
war  [wɔːr]
history  [ˈhɪst(ə)ri]
party  [ˈpɑːrti]
within  [wɪˈðɪn]
grow  [ɡroʊ]
result  [rɪˈzʌlt]
open  [ˈoʊpən]
change  [tʃeɪndʒ]
morning  [ˈmɔːrnɪŋ]
walk  [wɔːk]
reason  [ˈriːz(ə)n]
low  [loʊ]
win  [wɪn]
research  [ˈriːsɜːrtʃ]
girl  [ɡɜːrl]
guy  [ɡaɪ]
early  [ˈɜːrli]
food  [fuːd]
before  [bɪˈfɔːr]
moment  [ˈmoʊmənt]
himself  [hɪmˈself]
air  [er]
teacher  [ˈtiːtʃər]
force  [fɔːrs]
offer  [ˈɔːfər]
enough  [ɪˈnʌf]
both  [boʊθ]
education  [ˌedʒuˈkeɪʃ(ə)n]
across  [əˈkrɔːs]
although  [ɔːlˈðoʊ]
remember  [rɪˈmembər]
foot  [fʊt]
second  [ˈsekənd]
boy  [bɔɪ]
maybe  [ˈmeɪbi]
toward  [tɔːrd]
able  [ˈeɪb(ə)l]
age  [eɪdʒ]
off  [ɔːf]
policy  [ˈpɑːləsi]
everything  [ˈevriθɪŋ]
love  [lʌv]
process  [ˈprɑːses]
music  [ˈmjuːzɪk]
including  [ɪnˈkluːdɪŋ]
consider  [kənˈsɪdər]
appear  [əˈpɪr]
actually  [ˈæktʃuəli]
buy  [baɪ]
probably  [ˈprɑːbəbli]
human  [ˈhjuːmən]
wait  [weɪt]
serve  [sɜːrv]
market  [ˈmɑːrkɪt]
die  [daɪ]
send  [send]
expect  [ɪkˈspekt]
home  [hoʊm]
sense  [sens]
build  [bɪld]
stay  [steɪ]
fall  [fɔːl]
oh  [oʊ]
nation  [ˈneɪʃ(ə)n]
plan  [plæn]
cut  [kʌt]
college  [ˈkɑːlɪdʒ]
interest  [ˈɪntrəst]
death  [deθ]
course  [kɔːrs]
someone  [ˈsʌmwʌn]
experience  [ɪkˈspɪriəns]
behind  [bɪˈhaɪnd]
reach  [riːtʃ]
local  [ˈloʊk(ə)l]
kill  [kɪl]
six  [sɪks]
remain  [rɪˈmeɪn]
effect  [ɪˈfekt]
use  [juːz]
yeah  [jeə]
suggest  [səˈdʒest]
class  [klæs]
control  [kənˈtroʊl]
raise  [reɪz]
care  [ker]
perhaps  [pərˈhæps]
little  [ˈlɪt(ə)l]
late  [leɪt]
hard  [hɑːrd]
field  [fiːld]
else  [els]
pass  [pæs]
former  [ˈfɔːrmər]
sell  [sel]
major  [ˈmeɪdʒər]
sometimes  [ˈsʌmtaɪmz]
require  [rɪˈkwaɪər]
along  [əˈlɔːŋ]
development  [dɪˈveləpmənt]
themselves  [ðəmˈselvz]
report  [rɪˈpɔːrt]
role  [roʊl]
better  [ˈbetər]
economic  [ˌiːkəˈnɑːmɪk]
effort  [ˈefərt]
up  [ʌp]
decide  [dɪˈsaɪd]
rate  [reɪt]
strong  [strɔːŋ]
possible  [ˈpɑːsəb(ə)l]
heart  [hɑːrt]
drug  [drʌɡ]
show  [ʃoʊ]
leader  [ˈliːdər]
light  [laɪt]
voice  [vɔɪs]
wife  [waɪf]
whole  [hoʊl]
police  [pəˈliːs]
mind  [maɪnd]
finally  [ˈfaɪnəli]
pull  [pʊl]
return  [rɪˈtɜːrn]
free  [friː]
military  [ˈmɪləteri]
price  [praɪs]
report  [rɪˈpɔːrt]
less  [les]
according  [əˈkɔːrdɪŋ]
decision  [dɪˈsɪʒ(ə)n]
explain  [ɪkˈspleɪn]
son  [sʌn]
hope  [hoʊp]
even  [ˈiːv(ə)n]
develop  [dɪˈveləp]
view  [vjuː]
relationship  [rɪˈleɪʃ(ə)nʃɪp]
carry  [ˈkæri]
town  [taʊn]
road  [roʊd]
drive  [draɪv]
arm  [ɑːrm]
TRUE  [truː]
federal  [ˈfedərəl]
break  [breɪk]
better  [ˈbetər]
difference  [ˈdɪfrəns]
thank  [θæŋk]
receive  [rɪˈsiːv]
value  [ˈvæljuː]
international  [ˌɪntərˈnæʃ(ə)nəl]
building  [ˈbɪldɪŋ]
action  [ˈækʃ(ə)n]
full  [fʊl]
model  [ˈmɑːd(ə)l]
join  [dʒɔɪn]
season  [ˈsiːz(ə)n]
society  [səˈsaɪəti]
because  [bɪˈkəz, bɪˈkɔːz]
tax  [tæks]
director  [dəˈrektər]
early  [ˈɜːrli]
position  [pəˈzɪʃ(ə)n]
player  [ˈpleɪər]
agree  [əˈɡriː]
especially  [ɪˈspeʃəli]
record  [ˈrekərd]
pick  [pɪk]
wear  [wer]
paper  [ˈpeɪpər]
special  [ˈspeʃ(ə)l]
space  [speɪs]
ground  [ɡraʊnd]
form  [fɔːrm]
support  [səˈpɔːrt]
event  [ɪˈvent]
official  [əˈfɪʃ(ə)l]
whose  [huːz]
matter  [ˈmætər]
everyone  [ˈevriwʌn]
center  [ˈsentər]
couple  [ˈkʌp(ə)l]
site  [saɪt]
end  [end]
project  [ˈprɑːdʒekt]
hit  [hɪt]
base  [beɪs]
activity  [ækˈtɪvəti]
star  [stɑːr]
table  [ˈteɪbl]
need  [niːd]
court  [kɔːrt]
produce  [prəˈduːs]
eat  [iːt]
American  [əˈmerɪkən]
teach  [tiːtʃ]
oil  [ɔɪl]
half  [hæf]
situation  [ˌsɪtʃuˈeɪʃ(ə)n]
easy  [ˈiːzi]
cost  [kɔːst]
industry  [ˈɪndəstri]
figure  [ˈfɪɡjər]
face  [feɪs]
street  [striːt]
image  [ˈɪmɪdʒ]
itself  [ɪtˈself]
phone  [foʊn]
either  [ˈiːðər]
data  [ˈdeɪtə]
cover  [ˈkʌvər]
quite  [kwaɪt]
picture  [ˈpɪktʃər]
clear  [klɪr]
practice  [ˈpræktɪs]
piece  [piːs]
land  [lænd]
recent  [ˈriːs(ə)nt]
describe  [dɪˈskraɪb]
product  [ˈprɑːdʌkt]
doctor  [ˈdɑːktər]
wall  [wɔːl]
patient  [ˈpeɪʃ(ə)nt]
worker  [ˈwɜːrkər]
news  [nuːz]
test  [test]
movie  [ˈmuːvi]
certain  [ˈsɜːrt(ə)n]
north  [nɔːrθ]
love  [lʌv]
personal  [ˈpɜːrsən(ə)l]
open  [ˈoʊpən]
support  [səˈpɔːrt]
simply  [ˈsɪmpli]
third  [θɜːrd]
technology  [tekˈnɑːlədʒi]
catch  [kætʃ]
step  [step]
baby  [ˈbeɪbi]
computer  [kəmˈpjuːtər]
type  [taɪp]
attention  [əˈtenʃ(ə)n]
draw  [drɔː]
film  [fɪlm]
Republican  [rɪˈpʌblɪkən]
tree  [triː]
source  [sɔːrs]
red  [red]
nearly  [ˈnɪrli]
organization  [ˌɔːrɡənəˈzeɪʃ(ə)n]
choose  [tʃuːz]
cause  [kɔːz]
hair  [her]
look  [lʊk]
point  [pɔɪnt]
century  [ˈsentʃəri]
evidence  [ˈevɪdəns]
window  [ˈwɪndoʊ]
difficult  [ˈdɪfɪkəlt]
listen  [ˈlɪs(ə)n]
soon  [suːn]
culture  [ˈkʌltʃər]
billion  [ˈbɪljən]
chance  [tʃæns]
brother  [ˈbrʌðər]
energy  [ˈenərdʒi]
period  [ˈpɪriəd]
course  [kɔːrs]
summer  [ˈsʌmər]
less  [les]
realize  [ˈriːəlaɪz]
hundred  [ˈhʌndrəd]
available  [əˈveɪləb(ə)l]
plant  [plænt]
likely  [ˈlaɪkli]
opportunity  [ˌɑːpərˈtuːnəti]
term  [tɜːrm]
short  [ʃɔːrt]
letter  [ˈletər]
condition  [kənˈdɪʃ(ə)n]
choice  [tʃɔɪs]
place  [pleɪs]
single  [ˈsɪŋɡ(ə)l]
rule  [ruːl]
daughter  [ˈdɔːtər]
administration  [ədˌmɪnɪˈstreɪʃn]
south  [saʊθ]
husband  [ˈhʌzbənd]
Congress  [ˈkɑːŋɡrəs]
floor  [flɔːr]
campaign  [kæmˈpeɪn]
material  [məˈtɪriəl]
population  [ˌpɑːpjuˈleɪʃ(ə)n]
well  [wel]
call  [kɔːl]
economy  [ɪˈkɑːnəmi]
medical  [ˈmedɪk(ə)l]
hospital  [ˈhɑːspɪt(ə)l]
church  [tʃɜːrtʃ]
close  [kloʊz]
thousand  [ˈθaʊz(ə)nd]
risk  [rɪsk]
current  [ˈkɜːrənt]
fire  [ˈfaɪər]
future  [ˈfjuːtʃər]
wrong  [rɔːŋ]
involve  [ɪnˈvɑːlv]
defense  [dɪˈfens]
anyone  [ˈeniwʌn]
increase  [ɪnˈkriːs]
security  [sɪˈkjʊrəti]
bank  [bæŋk]
myself  [maɪˈself]
certainly  [ˈsɜːrt(ə)nli]
west  [west]
sport  [spɔːrt]
board  [bɔːrd]
seek  [siːk]
per  [pər]
subject  [ˈsʌbdʒekt]
officer  [ˈɑːfɪsər]
private  [ˈpraɪvət]
rest  [rest]
behavior  [bɪˈheɪvjər]
deal  [diːl]
performance  [pərˈfɔːrməns]
fight  [faɪt]
throw  [θroʊ]
top  [tɑːp]
quickly  [ˈkwɪkli]
past  [pæst]
goal  [ɡoʊl]
second  [ˈsekənd]
bed  [bed]
order  [ˈɔːrdər]
author  [ˈɔːθər]
fill  [fɪl]
represent  [ˌreprɪˈzent]
focus  [ˈfoʊkəs]
foreign  [ˈfɔːrən]
drop  [drɑːp]
plan  [plæn]
blood  [blʌd]
upon  [əˈpɑːn]
agency  [ˈeɪdʒənsi]
push  [pʊʃ]
nature  [ˈneɪtʃər]
color  [ˈkʌlər]
no  [noʊ]
recently  [ˈriːs(ə)ntli]
store  [stɔːr]
reduce  [rɪˈduːs]
sound  [saʊnd]
note  [noʊt]
fine  [faɪn]
